"Year","Activity","Source","Destination","Energy (MW.h)","Total Value (CAN$)","Price (CAN$/MW.h)"
"1993","Exports","Total","Vermont","2023859.0000","101856655.0100","26.28"
"1993","Exports","Total","Washington","1801202.0300","64706196.4300","35.92"
"1993","Imports","Maine","New Brunswick","73227.0000","1860008.2900","25.40"
"1993","Imports","Maine","Total","73227.0000","1860008.2900","25.40"
"1993","Imports","Michigan","Ontario","28735.9000","646402.2100","22.49"
"1993","Imports","Michigan","Total","28735.9000","646402.2100","22.49"
"1993","Imports","Minnesota","Manitoba","479604.0000","7390219.3800","15.41"
"1993","Imports","Minnesota","Ontario","42.0000","1507.8000","35.90"
"1993","Imports","Minnesota","Total","479646.0000","7391727.1800","15.41"
"1993","Imports","Montana","British Columbia","329.0000","18899.6200","57.45"
"1993","Imports","Montana","Total","329.0000","18899.6200","57.45"
"1993","Imports","New England-ISO","Québec","144027.0000","3341151.1100","23.20"
"1993","Imports","New England-ISO","Total","144027.0000","3341151.1100","23.20"
"1993","Imports","New York","Ontario","166069.0000","7956228.4600","47.91"
"1993","Imports","New York","Québec","55780.0000","13661536.5000","22.85"
"1993","Imports","New York","Total","221849.0000","21617764.9600","41.61"
"1993","Imports","North Dakota","Manitoba","130747.0000","2078306.5200","15.90"
"1993","Imports","North Dakota","Saskatchewan","101653.0000","1901044.3400","18.50"
"1993","Imports","North Dakota","Total","232400.0000","3979350.8600","17.04"
"1993","Imports","Total","Alberta","2468.5200","116351.4000","47.13"
"1993","Imports","Total","British Columbia","1081548.0000","19109611.6800","17.67"
"1993","Imports","Total","Manitoba","610351.0000","9468525.9000","15.51"
"1993","Imports","Total","New Brunswick","73227.0000","1860008.2900","25.40"
"1993","Imports","Total","Ontario","194846.9000","8604138.4700","44.16"
"1993","Imports","Total","Québec","627628.0000","43718797.3000","29.14"
"1993","Imports","Total","Saskatchewan","101653.0000","1901044.3400","18.50"
"1993","Imports","Total","Total","2691722.4200","84778477.3800","22.04"
"1993","Imports","Vermont","Québec","427821.0000","26716109.6900","31.96"
"1993","Imports","Vermont","Total","427821.0000","26716109.6900","31.96"
"1993","Imports","Washington","Alberta","2468.5200","116351.4000","47.13"
"1993","Imports","Washington","British Columbia","1081219.0000","19090712.0600","17.66"
"1993","Imports","Washington","Total","1083687.5200","19207063.4600","17.72"
"1994","Exports","British Columbia","Alaska","1308.7200","89872.4400","68.67"
"1994","Exports","British Columbia","Arizona","21.0000","865.0000","41.19"
"1994","Exports","British Columbia","California","145895.0000","4129949.1800","28.31"
"1994","Exports","British Columbia","Idaho","67315.0000","2284975.2700","33.94"
"1994","Exports","British Columbia","Nevada","6850.0000","233123.0000","34.03"
"1994","Exports","British Columbia","Oregon","1066362.0000","43098835.6400","40.42"
"1994","Exports","British Columbia","Total","4110642.7470","144952555.3500","35.26"
"1994","Exports","British Columbia","Washington","2822891.0270","95114934.8200","33.69"
"1994","Exports","Manitoba","Minnesota","7779971.9320","259285301.0800","20.89"
"1994","Exports","Manitoba","North Dakota","1074042.0000","21366401.3300","18.56"
"1994","Exports","Manitoba","Total","8854013.9320","280651702.4100","20.61"
"1994","Exports","New Brunswick","Maine","1998603.5180","70162940.1300","34.60"
"1994","Exports","New Brunswick","Massachusetts","339354.0000","17342112.0000","51.10"
"1994","Exports","New Brunswick","Total","2337957.5180","87505052.1300","36.99"
